AVG QTY Per Serving,Category,Description,Serving Size (g),Energy (kcal),Protein (g),"Fat, Total (g)",Sat. Fat (g),Trans fatty acid (g),Cholesterol (mg),Carbohydrates (g),Dietary Fibre (g),Sugars (g),Sodium (mg)
Subway 6-Inch® Multigrain Bread,Breads,,70,190,9.5,2.1,0.6,0,0,27.5,3.5,2.1,273
Subway 6-Inch Parmesan Oregano Bread,Breads,,71,193,7.1,2.3,0.8,0,0,35.8,1.8,2.6,426
"Wrap, Multigrain",Breads,,64.5,186,5,5.2,2.8,0,0,27.5,4.2,6.6,573
Beef Pepperoni (4 slices),"Meat, Poultry, Egg, Seafood & Vegetarian",Amount on a Subway 6-Inch Sub,36,91,5.9,7.1,3.2,0,6,1.1,0,0,398
Beef Salami (4 slices),"Meat, Poultry, Egg, Seafood & Vegetarian",Amount on a Subway 6-Inch Sub,36,91,5.9,7,3.2,0,7,1.2,0,0.2,358
Chicken Bacon (2 Slices),"Meat, Poultry, Egg, Seafood & Vegetarian",Amount on a Subway 6-Inch Sub,30,40,5,1,0.3,0,17,1.4,1.2,0.3,216
Chicken Bulgogi,"Meat, Poultry, Egg, Seafood & Vegetarian",Amount on a Subway 6-Inch Sub,92.3,122,16.9,2.1,0.3,0,0,7.7,0.2,7,576
Chicken Cutlet,"Meat, Poultry, Egg, Seafood & Vegetarian",Amount on a Subway 6-Inch Sub,117,256,19.9,13.6,5.5,0,30,13.8,8.1,1.3,431
Chicken Ham (sliced) (2 slices),"Meat, Poultry, Egg, Seafood & Vegetarian",Amount on a Subway 6-Inch Sub,30,32,4.3,1.2,0.5,0,7,1.2,0.1,0.3,236
Chicken Sausage (2 pieces),"Meat, Poultry, Egg, Seafood & Vegetarian",Amount on a Subway 6-Inch Sub,90,168,16.7,9.4,0,0,0,7.1,0,0,899
Chicken Teriyaki,"Meat, Poultry, Egg, Seafood & Vegetarian",Amount on a Subway 6-Inch Sub,92.3,113,16.9,1.9,0.3,0,0,7.1,0,5.9,511
Chunky Steak,"Meat, Poultry, Egg, Seafood & Vegetarian",Amount on a Subway 6-Inch Sub,71,99,18.1,2.7,2.1,0,45,0.6,0,0,235
Egg & Mayo (with Hard Boiled Egg),"Meat, Poultry, Egg, Seafood & Vegetarian",Amount on a Subway 6-Inch Sub,74,147,3.7,14.6,2.7,0.3,110,0,0.2,0.1,192
Egg (Omelette),"Meat, Poultry, Egg, Seafood & Vegetarian",Amount on a Subway 6-Inch Sub,56.7,80,7.2,5.1,1.8,0,0,0.2,0,0.2,133
Meatball Marinara,"Meat, Poultry, Egg, Seafood & Vegetarian",Amount on a Subway 6-Inch Sub,105,174,12.5,10.1,5.5,0,22,8.9,0.7,2.3,402
Roast Beef (4 slices),"Meat, Poultry, Egg, Seafood & Vegetarian",Amount on a Subway 6-Inch Sub,60,74,14.3,1.4,0.7,0,27,1,0,0.6,335
Roasted Chicken Breast Patty,"Meat, Poultry, Egg, Seafood & Vegetarian",Amount on a Subway 6-Inch Sub,71,80,14.5,1.4,0.2,0,0,2.1,0,1.2,337
Tuna & Mayo,"Meat, Poultry, Egg, Seafood & Vegetarian",Amount on a Subway 6-Inch Sub,74,248,11.9,22.2,3.2,0.7,34,0.1,0,0.1,315
Turkey Bologna (2 slices),"Meat, Poultry, Egg, Seafood & Vegetarian",Amount on a Subway 6-Inch Sub,20,21,3.1,0.6,0.3,0,6,0.9,0.3,0.1,170
Turkey Breast (4 slices),"Meat, Poultry, Egg, Seafood & Vegetarian",Amount on a Subway 6-Inch Sub,60,57,9.4,1.1,0.4,0,18,2.4,0.1,0.5,505
Turkey Ham (2 slices),"Meat, Poultry, Egg, Seafood & Vegetarian",Amount on a Subway 6-Inch Sub,20,22,3.4,0.6,0.2,0,11,0.9,0.3,0.2,181
Turkey Salami (2 slices),"Meat, Poultry, Egg, Seafood & Vegetarian",Amount on a Subway 6-Inch Sub,20,21,3.1,0.6,0.3,0,16,0.8,0,0.1,183
Veggie Patty (2 patties),"Meat, Poultry, Egg, Seafood & Vegetarian",Amount on a Subway 6-Inch Sub,80,200,4.7,10.6,5.2,0.1,0.1,22.6,3.3,2.2,402
BBQ Sauce,Sauces & Dressings,,21.3,37,0.2,0.1,0,0,0,8.8,0.2,7.8,170
Bulgogi Sauce,Sauces & Dressings,,21.3,38,0.2,0.3,0.1,0,0,7.7,0.2,7,216
Chilli Sauce,Sauces & Dressings,,21.3,34,0.1,0.1,0,0,0,7.8,0.3,7.1,178
Chipotle Southwest Sauce,Sauces & Dressings,,21.3,101,0.3,10.2,1.8,0.2,0,1.9,0.1,1.1,157
Honey Mustard,Sauces & Dressings,,21.3,32,0.2,0.2,0,0,0,7.2,0.3,6.1,106
Ketchup,Sauces & Dressings,,21.3,25,0,0,0,0,0,5.6,0.1,4.8,170
Mayonnaise,Sauces & Dressings,,15,107,0.2,11.8,1.7,0.4,7,0,0,0.1,80
Mustard,Sauces & Dressings,,10,50,0.4,0.5,0.1,0,0,1.1,0.3,0.8,130
Sweet Onion Sauce,Sauces & Dressings,,21.3,38,0.1,0.1,0,0,0,8.9,0.1,8.2,75
Jalapeno Cheese Sauce,Sauces & Dressings,,21.3,56,0.6,4.8,1,0,0,2.7,0.1,1.7,219
Remoulade,Sauces & Dressings,,21.3,79,0.1,6.5,0.9,0.3,0,5.2,0.1,4,161
Sweet Chilli Sauce,Sauces & Dressings,,21.3,27,0.2,0.1,0,0.2,0,6.3,0.1,5.6,268
Shredded Mozzarella,Cheeses,,14,44,2.8,3.3,2.1,0.1,10,0.8,0.1,0.2,82
Sliced Old English Style Processed Cheese (2 slices),Cheeses,,11.2,38,2.3,2.9,2,0,0,0.6,0,0.3,213
Avocado,Vegetables,,37,71,0.7,7,1.1,0,0,2.5,1.9,0.3,31
Beetroot,Vegetables,,7,3,0.1,0,0,0,0,0.7,0.2,0.5,5
Carrots,Vegetables,,7,3,0.1,0,0,0,0,0.7,0.2,0.3,5
Corn,Vegetables,,30,22,0.8,0.5,0.1,0,0,3.6,0.9,1.2,20
Cucumbers (3 slices),Vegetables,,14,2,0.1,0,0,0,0,0.5,0.1,0.2,0.3
Jalapenos (3 slices),Vegetables,,4,1,0,0,0,0,0,0.1,0.1,0.1,62
Lettuce,Vegetables,,21,3,0.2,0,0,0,0,0.6,0.3,0.4,2
Mixed Greens,Vegetables,,10,2,0.1,0,0,0,0,0.3,0.3,0,2
Mixed Bell Peppers (3 slices),Vegetables,,7,2,0.1,0,0,0,0,0.4,0.1,0.3,0.3
Mushrooms (spread),Vegetables,,37,29,0.6,2,1.1,0,5,2.7,0.7,0.8,115
Olives (3 slices),Vegetables,,3,4,0,0.3,0.1,0,0,0.2,0.1,0,26
Onions (3 slices),Vegetables,,7,3,0.1,0,0,0,0,0.7,0.1,0.3,0.3
Pickles (3 slices),Vegetables,,9.4,1,0,0,0,0,0,0,0.1,0,94
Tomatoes (3 slices),Vegetables,,35,6,0.3,0.1,0,0,0,1.4,0.4,0.9,2
